baseline_time,baseline_eval,eval_0.001s,error_0.001s,best_move_match_0.001s,eval_0.005s,error_0.005s,best_move_match_0.005s,eval_0.01s,error_0.01s,best_move_match_0.01s,eval_0.05s,error_0.05s,best_move_match_0.05s,eval_0.1s,error_0.1s,best_move_match_0.1s,eval_0.2s,error_0.2s,best_move_match_0.2s,eval_0.5s,error_0.5s,best_move_match_0.5s
1.0,0.52,0.57,0.04999999999999993,False,0.59,0.06999999999999995,False,0.58,0.05999999999999994,False,0.59,0.06999999999999995,True,0.36,-0.16000000000000003,True,0.4,-0.12,False,0.52,0.0,False
1.0,0.55,0.55,0.0,True,0.46,-0.09000000000000002,True,0.44,-0.11000000000000004,True,0.29,-0.26000000000000006,True,0.52,-0.030000000000000027,True,0.56,0.010000000000000009,True,0.45,-0.10000000000000003,True
1.0,0.42,0.43,0.010000000000000009,True,0.43,0.010000000000000009,True,0.35,-0.07,True,0.47,0.04999999999999999,True,0.45,0.030000000000000027,True,0.37,-0.04999999999999999,True,0.47,0.04999999999999999,True
1.0,0.36,0.49,0.13,True,0.51,0.15000000000000002,True,0.46,0.10000000000000003,True,0.54,0.18000000000000005,True,0.53,0.17000000000000004,True,0.6,0.24,True,0.55,0.19000000000000006,True
1.0,0.24,0.26,0.020000000000000018,True,0.27,0.030000000000000027,True,0.29,0.04999999999999999,True,0.29,0.04999999999999999,True,0.19,-0.04999999999999999,True,0.26,0.020000000000000018,True,0.23,-0.009999999999999981,True
1.0,0.29,0.31,0.020000000000000018,True,0.21,-0.07999999999999999,True,0.26,-0.02999999999999997,True,0.26,-0.02999999999999997,True,0.26,-0.02999999999999997,True,0.34,0.050000000000000044,True,0.26,-0.02999999999999997,True
1.0,0.26,0.18,-0.08000000000000002,True,0.18,-0.08000000000000002,True,0.18,-0.08000000000000002,True,0.18,-0.08000000000000002,True,0.15,-0.11000000000000001,True,0.15,-0.11000000000000001,True,0.28,0.020000000000000018,True
1.0,0.19,0.14,-0.04999999999999999,False,0.24,0.04999999999999999,False,0.24,0.04999999999999999,False,0.24,0.04999999999999999,True,0.28,0.09000000000000002,True,0.19,0.0,True,0.21,0.01999999999999999,False
1.0,0.21,0.27,0.060000000000000026,False,0.29,0.07999999999999999,False,0.18,-0.03,False,0.25,0.04000000000000001,True,0.26,0.05000000000000002,True,0.28,0.07000000000000003,True,0.15,-0.06,True
1.0,0.14,0.18,0.03999999999999998,True,0.12,-0.020000000000000018,False,0.13,-0.010000000000000009,True,0.11,-0.030000000000000013,True,0.25,0.10999999999999999,True,0.2,0.06,True,0.22,0.07999999999999999,True
